"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,
[Numbers in thousands],,,,,,,
,,,,,,,
Occupation,2020,,,,,,
,"Total
employed",Percent of total employed,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",Tree level
Merchandise displayers and window trimmers,24,–,–,–,–,–,4
Other designers,375,41.9,79.2,6.3,11.1,11.5,4
Actors,29,–,–,–,–,–,4
Producers and directors,181,45.2,83.8,6.1,6.7,8.7,4
Athletes and sports competitors,28,–,–,–,–,–,4
Coaches and scouts,210,44.8,75.2,14.7,3.5,5.4,4
"Umpires, referees, and other sports officials",25,–,–,–,–,–,4
Dancers and choreographers,7,–,–,–,–,–,4
Music directors and composers,50,30.8,83.3,10.1,2.2,14.0,4
Musicians and singers,118,31.8,78.5,12.9,3.8,13.0,4
"Disc jockeys, except radio",15,–,–,–,–,–,4
"Entertainers and performers, sports and related workers, all other",41,–,–,–,–,–,4
Broadcast announcers and radio disc jockeys,28,–,–,–,–,–,4
"News analysts, reporters, and journalists",77,54.0,80.1,10.9,6.7,5.3,4
Public relations specialists,145,59.4,83.3,11.0,3.4,13.6,4
Editors,99,61.1,94.5,0.7,0.8,8.5,4
Technical writers,65,50.1,88.0,7.3,3.6,8.0,4
Writers and authors,242,64.9,85.1,7.9,4.3,2.4,4
Interpreters and translators,91,72.9,74.6,8.3,11.4,29.4,4
Court reporters and simultaneous captioners,31,–,–,–,–,–,4
"Media and communication workers, all other",19,–,–,–,–,–,4
"Broadcast, sound, and lighting technicians",77,8.0,83.6,10.6,5.8,20.2,4
Photographers,186,52.1,84.9,6.7,5.6,10.0,4
"Television, video, and film camera operators and editors",100,31.1,74.5,16.3,5.8,18.5,4
"Media and communication equipment workers, all other",2,–,–,–,–,–,4
Healthcare practitioners and technical occupations,"9,559",74.4,75.6,12.1,9.4,9.4,3
Chiropractors,66,22.2,90.7,2.4,5.1,6.1,4
Dentists,173,28.7,78.8,1.4,16.6,5.5,4
Dietitians and nutritionists,106,91.4,74.7,15.5,8.2,9.9,4
Optometrists,42,–,–,–,–,–,4
Pharmacists,327,61.6,67.9,8.3,20.0,3.4,4
Emergency medicine physicians,17,–,–,–,–,–,4
Radiologists,25,–,–,–,–,–,4
Other physicians,929,40.6,67.0,8.5,22.0,8.8,4
Surgeons,54,26.3,82.4,4.2,13.4,15.6,4
Physician assistants,141,65.5,79.9,6.3,12.3,7.9,4
Podiatrists,12,–,–,–,–,–,4
Audiologists,20,–,–,–,–,–,4
Occupational therapists,124,86.3,87.6,4.0,7.4,6.5,4
Physical therapists,281,67.2,77.8,5.2,15.0,4.4,4
Radiation therapists,10,–,–,–,–,–,4
Recreational therapists,21,–,–,–,–,–,4
Respiratory therapists,122,72.4,75.0,18.5,2.3,7.0,4
Speech-language pathologists,195,94.4,89.7,6.6,3.6,8.5,4
Exercise physiologists,6,–,–,–,–,–,4
"Therapists, all other",233,84.4,79.2,11.7,4.3,12.1,4
Veterinarians,83,64.9,91.9,0.0,5.7,7.0,4
Registered nurses,"3,256",87.4,75.3,13.4,8.7,7.9,4
Nurse anesthetists,42,–,–,–,–,–,4
Nurse midwives,5,–,–,–,–,–,4
Nurse practitioners,218,88.0,86.2,9.1,3.2,6.3,4
Acupuncturists,23,–,–,–,–,–,4
"Healthcare diagnosing or treating practitioners, all other",15,–,–,–,–,–,4
Clinical laboratory technologists and technicians,331,70.4,72.4,13.7,9.5,19.0,4
Dental hygienists,190,93.9,88.9,2.1,7.7,10.5,4
Cardiovascular technologists and technicians,50,71.9,73.9,16.2,6.7,12.3,4
Diagnostic medical sonographers,90,84.0,79.3,9.3,5.5,5.1,4
